iter	Passed	Remaining
0	22	2262
1	43	2122
2	63	2063
3	84	2034
4	104	1990
5	124	1945
6	144	1921
7	164	1893
8	184	1869
9	206	1859
10	227	1838
11	247	1814
12	267	1790
13	287	1765
14	307	1743
15	327	1721
16	348	1701
17	368	1679
18	388	1657
19	408	1634
20	428	1610
21	448	1588
22	468	1566
23	487	1544
24	508	1524
25	528	1504
26	548	1483
27	568	1462
28	589	1444
29	610	1424
30	630	1403
31	651	1383
32	671	1362
33	691	1342
34	711	1321
35	731	1299
36	750	1278
37	770	1256
38	790	1237
39	811	1216
40	831	1197
41	851	1176
42	871	1155
43	891	1134
44	911	1113
45	932	1095
46	953	1075
47	974	1055
48	994	1035
49	1015	1015
50	1036	995
51	1056	975
52	1076	954
53	1097	934
54	1116	913
55	1136	892
56	1156	872
57	1177	852
58	1196	831
59	1217	811
60	1237	791
61	1258	771
62	1279	751
63	1300	731
64	1320	711
65	1340	690
66	1360	669
67	1380	649
68	1400	629
69	1420	608
70	1440	588
71	1460	567
72	1480	547
73	1501	527
74	1521	507
75	1542	487
76	1562	466
77	1582	446
78	1603	426
79	1623	405
80	1643	385
81	1664	365
82	1685	345
83	1705	324
84	1725	304
85	1746	284
86	1765	263
87	1787	243
88	1807	223
89	1828	203
90	1851	183
91	1871	162
92	1893	142
93	1913	122
94	1934	101
95	1954	81
96	1977	61
97	1997	40
98	2018	20
99	2039	0
